original_field,mapped_field,count,sample_files
1 PLACE OF DEATH (No.),1 PLACE OF DEATH (No.),3,"Brown, Thomas.txt; Martin, Mitchell.txt; Preston, Daniel.txt"
1. PLACE OF DEATH - Length of residence in city or town where death occurred - ds,1. PLACE OF DEATH - Length of residence in city or town where death occurred - ds,3,"Clayton, Paul.txt; Hunter, George W.txt; Tyler, James.txt"
1. PLACE OF DEATH - Length of residence in city or town where death occurred - mos,1. PLACE OF DEATH - Length of residence in city or town where death occurred - mos,3,"Clayton, Paul.txt; Hunter, George W.txt; Tyler, James.txt"
1. PLACE OF DEATH - Length of residence in city or town where death occurred - yrs,1. PLACE OF DEATH - Length of residence in city or town where death occurred - yrs,3,"Clayton, Paul.txt; Hunter, George W.txt; Tyler, James.txt"
1. PLACE OF DEATH - St.,1. PLACE OF DEATH - St.,3,"Hunter, George W.txt; Marshall, William.txt; Tyler, James.txt"
1. PLACE OF DEATH - Ward,1. PLACE OF DEATH - Ward,3,"Hunter, George W.txt; Marshall, William.txt; Tyler, James.txt"
1. PLACE OF DEATH No.,1. PLACE OF DEATH No.,3,"Ames Jr, Fred .txt; Ennis, Emanuel.txt; Saunders, Richard E.txt"
1. PLACE OF DEATH Ward,1. PLACE OF DEATH Ward,3,"Ames Jr, Fred .txt; Ennis, Emanuel.txt; Saunders, Richard E.txt"
15 Filed (Date),15 Filed (Date),3,"Dickerson, Ira.txt; Evans, James.txt; Thomas, Joe.txt"
15 Filed - Day,15 Filed - Day,3,"Hamilton, Arthur.txt; Jones, James.txt; White, Matthew.txt"
15 Filed - Month,15 Filed - Month,3,"Hamilton, Arthur.txt; Jones, James.txt; White, Matthew.txt"
15 Filed - Year,15 Filed - Year,3,"Hamilton, Arthur.txt; Jones, James.txt; White, Matthew.txt"
17 Contributory Secondary,17 Contributory Secondary,3,"Ashton, Ernest.txt; Martin, Mitchell.txt; Russell, Coley.txt"
17 Date Signed,17 Date Signed,3,"Ashton, Ernest.txt; Pratt, Louis.txt; Russell, Coley.txt"
17 and death occurred on the date stated above,17 and death occurred on the date stated above,3,"Dickerson, Ira.txt; Hamilton, Arthur.txt; King, John Henry.txt"
17 that I last saw h_ alive on (Day),17 that I last saw h_ alive on (Day),3,"Booze Jr, William.txt; Evans, James.txt; Tilghman, John W.txt"
17 that I last saw h_ alive on (Month),17 that I last saw h_ alive on (Month),3,"Booze Jr, William.txt; Evans, James.txt; Tilghman, John W.txt"
17 that I last saw h_ alive on (Year),17 that I last saw h_ alive on (Year),3,"Booze Jr, William.txt; Evans, James.txt; Tilghman, John W.txt"
17 to (Day),17 to (Day),3,"Carter, William Arthur.txt; Joffey, Benjamin.txt; Tilghman, John W.txt"
17 to (Month),17 to (Month),3,"Carter, William Arthur.txt; Joffey, Benjamin.txt; Tilghman, John W.txt"
17 to (Year),17 to (Year),3,"Carter, William Arthur.txt; Joffey, Benjamin.txt; Tilghman, John W.txt"
18 LENGTH OF RESIDENCE In the State (mos),18 LENGTH OF RESIDENCE In the State (mos),3,"Evans, James.txt; Joffey, Benjamin.txt; Tilghman, John W.txt"
18 LENGTH OF RESIDENCE In the State (yrs),18 LENGTH OF RESIDENCE In the State (yrs),3,"Evans, James.txt; Joffey, Benjamin.txt; Tilghman, John W.txt"
18 LENGTH OF RESIDENCE In the State ds,18 LENGTH OF RESIDENCE In the State ds,3,"Ashton, Ernest.txt; Bacon, John Henry.txt; Martin, Mitchell.txt"
18 LENGTH OF RESIDENCE Where was disease contracted,18 LENGTH OF RESIDENCE Where was disease contracted,3,"Bacon, John Henry.txt; Blanks, James.txt; Martin, Mitchell.txt"
2. (a) Residence: No.,FULL_NAME_(a)_Residence_No,3,"Ames Jr, Fred .txt; Hall, Thomas.txt; Williams, Frank.txt"
2. FULL NAME - If nonresident give city or town and State,FULL_NAME,3,"Clayton, Paul.txt; Hunter, George W.txt; Tyler, James.txt"
2. FULL NAME - Ward,FULL_NAME,3,"Clayton, Paul.txt; Hunter, George W.txt; Tyler, James.txt"
20. FILED Registrar,20. FILED Registrar,3,"Anderson, Arthur.txt; Saunders, Richard E.txt; Williams, Frank.txt"
20. Registrar,20. Registrar,3,"Ames Jr, Fred .txt; Ennis, Emanuel.txt; Tyler, James.txt"
21. DATE OF DEATH (Day),21. DATE OF DEATH (Day),3,"Ennis, Emanuel.txt; Hall, Thomas.txt; Williams, Frank.txt"
21. DATE OF DEATH (Month),21. DATE OF DEATH (Month),3,"Ennis, Emanuel.txt; Hall, Thomas.txt; Williams, Frank.txt"
21. DATE OF DEATH (Year),21. DATE OF DEATH (Year),3,"Ennis, Emanuel.txt; Hall, Thomas.txt; Williams, Frank.txt"
21. DATE OF DEATH Year,21. DATE OF DEATH Year,3,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Saunders, Richard E.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Where did injury occur?,23. If death was due to external causes (VIOLENCE) fill in also the following: Where did injury occur?,3,"Anderson, Arthur.txt; Hall, Thomas.txt; Saunders, Richard E.txt"
7 AGE (Days),7 AGE (Days),3,"Jones, Paul.txt; Tilghman, John W.txt; Wall, Jesse.txt"
7 AGE (If LESS than 1 day,7 AGE (If LESS than 1 day,3,"McDonald, Edward.txt; Nichols, Caleb Henry.txt"
7 AGE (Months),7 AGE (Months),3,"Jones, Paul.txt; Tilghman, John W.txt; Wall, Jesse.txt"
7 AGE (Years),7 AGE (Years),3,"Jones, Paul.txt; Tilghman, John W.txt; Wall, Jesse.txt"
7 AGE (ds),7 AGE (ds),3,"Evans, James.txt; Joffey, Benjamin.txt; Nichols, Caleb Henry.txt"
7 AGE (mos),7 AGE (mos),3,"Evans, James.txt; Joffey, Benjamin.txt; Nichols, Caleb Henry.txt"
7 AGE (yrs),7 AGE (yrs),3,"Evans, James.txt; Joffey, Benjamin.txt; Nichols, Caleb Henry.txt"
7 AGE - ds.,7 AGE - ds.,3,"Dennis, Irvin.txt; Hamilton, Arthur.txt; Landman, Milton.txt"
7 AGE OR min.?,7 AGE OR min.?,3,"Blanks, James.txt; Dennis, Louis.txt; Dorsey, Henry.txt"
"8 OCCUPATION (a) Trade, profession, or particular kind of work",Trade_profession_or_particular_kind_of_work_done,3,"Brown, Thomas.txt; Dennis, Louis.txt; Johnson, Oscar.txt"
ADDRESS (Undertaker),ADDRESS (Undertaker),3,"Bacon, John Henry.txt; Hammond, Amos.txt; Mines, Charles.txt"
AGE (Days),AGE (Days),3,"Dyson, Allen.txt; Hawkins, Ernest.txt; Thomas, Arthur.txt"
AGE (Months),AGE (Months),3,"Dyson, Allen.txt; Hawkins, Ernest.txt; Thomas, Arthur.txt"
AGE (Years),AGE (Years),3,"Dyson, Allen.txt; Hawkins, Ernest.txt; Thomas, Arthur.txt"
Address (Signed),Address (Signed),3,"Bacon, John Henry.txt; Hammond, Amos.txt; White, Matthew.txt"
BIRTHPLACE (city or town),BIRTHPLACE (city or town),3,"Chinn, Purnell.txt"
Certificate No.,Certificate_Number,3,"Anderson, Arthur.txt; Hall, Thomas.txt; Wall, Jesse.txt"
Certificate Number,Certificate Number,3,"Dyson, Allen.txt; Russell, Coley.txt; Williams, Frank.txt"
Date (Signed),Date (Signed),3,"Bacon, John Henry.txt; Hammond, Amos.txt; White, Matthew.txt"
Date of operation,Date of operation,3,"Anderson, Arthur.txt; Hall, Thomas.txt; Saunders, Richard E.txt"
Filed,Filed,3,"Barnes, Joseph.txt; Dixon, Lee.txt; Hammond, Amos.txt"
Filed Date,Filed Date,3,"Cook, Roger.txt; Dyson, Allen.txt; Thomas, Arthur.txt"
How long in U. S. if of foreign birth?,How long in U. S. if of foreign birth?,3,"Chinn, Purnell.txt"
LENGTH OF RESIDENCE At place of death (ds),LENGTH OF RESIDENCE At place of death (ds),3,"Barnes, Joseph.txt; Dixon, Lee.txt; Wood, Sherman.txt"
LENGTH OF RESIDENCE At place of death (mos),LENGTH OF RESIDENCE At place of death (mos),3,"Barnes, Joseph.txt; Dixon, Lee.txt; Wood, Sherman.txt"
LENGTH OF RESIDENCE At place of death (yrs),LENGTH OF RESIDENCE At place of death (yrs),3,"Barnes, Joseph.txt; Dixon, Lee.txt; Wood, Sherman.txt"
LENGTH OF RESIDENCE In the State (ds),LENGTH OF RESIDENCE In the State (ds),3,"Barnes, Joseph.txt; Dixon, Lee.txt; Wood, Sherman.txt"
LENGTH OF RESIDENCE In the State (mos),LENGTH OF RESIDENCE In the State (mos),3,"Barnes, Joseph.txt; Dixon, Lee.txt; Wood, Sherman.txt"
LENGTH OF RESIDENCE In the State (yrs),LENGTH OF RESIDENCE In the State (yrs),3,"Barnes, Joseph.txt; Dixon, Lee.txt; Wood, Sherman.txt"
Length of residence in city or town where death occurred,Length of residence in city or town where death occurred,3,"Chinn, Purnell.txt"
Nature of injury,Nature of injury,3,"Chinn, Purnell.txt; Davis, William C..txt; Saunders, Richard E.txt"
OCCUPATION (b) General nature of industry,OCCUPATION (b) General nature of industry,3,"Barnes, Joseph.txt; Cook, Roger.txt; Hammond, Amos.txt"
Other Contributory Causes of Importance,CAUSE_OF_DEATH_Other_Contributory,3,"Ames Jr, Fred .txt; Davis, William C..txt; Hall, Thomas.txt"
PLACE OF DEATH - County,PLACE OF DEATH - County,3,"Jacobs, Edward(1).txt; Landman, Milton.txt; Murray, Harvey E.txt"
Physician Address,Physician Address,3,"Dyson, Allen.txt; Parker, William.txt; Tyler, James.txt"
REGISTRAR,REGISTRAR,3,"Barnes, Joseph.txt; Hawkins, Ernest.txt; Jacobs, Edward(1).txt"
Signed (Address),Signed (Address),3,"Jenkins, John F.txt; Joffey, Benjamin.txt; Wood, Sherman.txt"
Signed Date,Signed Date,3,"Brown, Thomas.txt; Hill Jr, Samuel.txt; Preston, Daniel.txt"
THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Address),THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Address),3,"Dennis, Alfred.txt; Dixon, Lee.txt; Mines, Charles.txt"
THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Informant),THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Informant),3,"Dennis, Alfred.txt; Dixon, Lee.txt; Mines, Charles.txt"
THE CAUSE OF DEATH * was as follows:,THE CAUSE OF DEATH * was as follows:,3,"Dennis, Alfred.txt; King, John Henry.txt; Wall, Jesse.txt"
The CAUSE OF DEATH* was as follows,The CAUSE OF DEATH* was as follows,3,"Dixon, Lee.txt; Jenkins, John F.txt; Preston, Daniel.txt"
(Date),(Date),2,"Jones, James.txt; Landman, Milton.txt"
(If death occurred in a hospital or institution,(If death occurred in a hospital or institution,2,"Chinn, Purnell.txt; Murray, Harvey E.txt"
(M.D.),(M.D.),2,"Landman, Milton.txt; Nichols, Caleb Henry.txt"
(Signed) (Date),(Signed) (Date),2,"Evans, James.txt; Wall, Jesse.txt"
1 PLACE OF DEATH (No. House of Reformation St.,1 PLACE OF DEATH (No. House of Reformation St.,2,"Corry, Raymond.txt; Thomas, Joe.txt"
1 PLACE OF DEATH - Ward,1 PLACE OF DEATH - Ward,2,"Hamilton, Arthur.txt; White, Matthew.txt"
1 PLACE OF DEATH No.,1 PLACE OF DEATH No.,2,"Bacon, John Henry.txt; Johnson, Oscar.txt"
1. PLACE OF DEATH How long in U.S. if of foreign birth? ds.,1. PLACE OF DEATH How long in U.S. if of foreign birth? ds.,2,"Ennis, Emanuel.txt; Williams, Frank.txt"
1. PLACE OF DEATH How long in U.S. if of foreign birth? mos.,1. PLACE OF DEATH How long in U.S. if of foreign birth? mos.,2,"Ennis, Emanuel.txt; Williams, Frank.txt"
1. PLACE OF DEATH How long in U.S. if of foreign birth? yrs.,1. PLACE OF DEATH How long in U.S. if of foreign birth? yrs.,2,"Ennis, Emanuel.txt; Williams, Frank.txt"
12. BIRTHPLACE (city or town) (State or country),BIRTHPLACE__(city_or_town),2,"Ennis, Emanuel.txt; Hunter, George W.txt"
13. NAME (FATHER),FATHER__NAME,2,"Anderson, Arthur.txt; Tyler, James.txt"
13. NAME (Father),FATHER__NAME,2,"Davis, William C..txt; Hall, Thomas.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE - (Address),14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE - (Address),2,"Landman, Milton.txt; White, Matthew.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE - (Informant),INFORMANT,2,"Landman, Milton.txt; White, Matthew.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE - Informant,INFORMANT,2,"Hamilton, Arthur.txt; Russell, Coley.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE - Informant Address,INFORMANT,2,"Hamilton, Arthur.txt; Russell, Coley.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE Address,14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE Address,2,"Corry, Raymond.txt; Johnson, Oscar.txt"
14. BIRTHPLACE (State or country) (FATHER),14. BIRTHPLACE (State or country) (FATHER),2,"Anderson, Arthur.txt; Tyler, James.txt"
14. BIRTHPLACE (city or town) (FATHER),14. BIRTHPLACE (city or town) (FATHER),2,"Anderson, Arthur.txt; Tyler, James.txt"
14. BIRTHPLACE (city or town) (Father),14. BIRTHPLACE (city or town) (Father),2,"Davis, William C..txt; Hall, Thomas.txt"
14. FATHER BIRTHPLACE (State or country),14. FATHER BIRTHPLACE (State or country),2,"Ames Jr, Fred .txt; Williams, Frank.txt"
14. FATHER BIRTHPLACE (city or town),14. FATHER BIRTHPLACE (city or town),2,"Ames Jr, Fred .txt; Williams, Frank.txt"
14. FATHER BIRTHPLACE (city or town) (State or country),14. FATHER BIRTHPLACE (city or town) (State or country),2,"Ennis, Emanuel.txt; Hunter, George W.txt"
15 Filed Registrar,15 Filed Registrar,2,"Jones, Paul.txt; Tilghman, John W.txt"
15 Filed Registrar Name,15 Filed Registrar Name,2,"Brown, Thomas.txt; Dennis, Louis.txt"
15. MAIDEN NAME (MOTHER),MOTHER__MAIDEN_NAME,2,"Anderson, Arthur.txt; Tyler, James.txt"
15. MAIDEN NAME (Mother),MOTHER__MAIDEN_NAME,2,"Davis, William C..txt; Hall, Thomas.txt"
16. BIRTHPLACE (State or country) (MOTHER),16. BIRTHPLACE (State or country) (MOTHER),2,"Anderson, Arthur.txt; Tyler, James.txt"
16. BIRTHPLACE (city or town) (MOTHER),16. BIRTHPLACE (city or town) (MOTHER),2,"Anderson, Arthur.txt; Tyler, James.txt"
16. BIRTHPLACE (city or town) (Mother),16. BIRTHPLACE (city or town) (Mother),2,"Davis, William C..txt; Hall, Thomas.txt"
16. MOTHER BIRTHPLACE (State or country),16. MOTHER BIRTHPLACE (State or country),2,"Ames Jr, Fred .txt; Williams, Frank.txt"
16. MOTHER BIRTHPLACE (city or town),16. MOTHER BIRTHPLACE (city or town),2,"Ames Jr, Fred .txt; Williams, Frank.txt"
16. MOTHER BIRTHPLACE (city or town) (State or country),16. MOTHER BIRTHPLACE (city or town) (State or country),2,"Ennis, Emanuel.txt; Hunter, George W.txt"
17 (Signed),17 (Signed),2,"Ashton, Ernest.txt; Thomas, Joe.txt"
17 Contributory (Secondary),17 Contributory (Secondary),2,"Blanks, James.txt; Thomas, Joe.txt"
17 M. D.,17 M. D.,2,"Blanks, James.txt; Pratt, Louis.txt"
17 Signed,17 Signed,2,"Blanks, James.txt; Russell, Coley.txt"
"17 and that death occurred on the date stated above, at","17 and that death occurred on the date stated above, at",2,"Brown, Thomas.txt; Dennis, Irvin.txt"
17 that I last saw him alive on,17 that I last saw him alive on,2,"Brown, Thomas.txt; Dorsey, Henry.txt"
17. INFORMANT - Address,INFORMANT,2,"Clayton, Paul.txt; Hunter, George W.txt"
18 LENGTH OF RESIDENCE At place of death (mos),18 LENGTH OF RESIDENCE At place of death (mos),2,"Evans, James.txt; Tilghman, John W.txt"
18 LENGTH OF RESIDENCE At place of death (yrs),18 LENGTH OF RESIDENCE At place of death (yrs),2,"Evans, James.txt; Tilghman, John W.txt"
18 LENGTH OF RESIDENCE In the State (ds),18 LENGTH OF RESIDENCE In the State (ds),2,"Evans, James.txt; Joffey, Benjamin.txt"
19 DATE OF BURIAL - Day,19 DATE OF BURIAL - Day,2,"Hamilton, Arthur.txt; Jones, James.txt"
19 DATE OF BURIAL - Month,19 DATE OF BURIAL - Month,2,"Hamilton, Arthur.txt; Jones, James.txt"
19 DATE OF BURIAL - Year,19 DATE OF BURIAL - Year,2,"Hamilton, Arthur.txt; Jones, James.txt"
19. UNDERTAKER - Address,UNDERTAKER,2,"Clayton, Paul.txt; Hunter, George W.txt"
2. (a) Residence: (Usual place of abode),2. (a) Residence: (Usual place of abode),2,"Ames Jr, Fred .txt; Hall, Thomas.txt"
2. (a) Residence: St.,FULL_NAME_St,2,"Ames Jr, Fred .txt; Williams, Frank.txt"
2. (a) Residence: Ward,2. (a) Residence: Ward,2,"Ames Jr, Fred .txt; Williams, Frank.txt"
2. FULL NAME (a) Residence: No.,FULL_NAME,2,"Ennis, Emanuel.txt; Saunders, Richard E.txt"
2. FULL NAME (a) Residence: Ward,FULL_NAME,2,"Ennis, Emanuel.txt; Saunders, Richard E.txt"
2. FULL NAME - (a) Residence: No.,FULL_NAME,2,"Hunter, George W.txt; Tyler, James.txt"
2. FULL NAME - St.,FULL_NAME,2,"Hunter, George W.txt; Tyler, James.txt"
20 UNDERTAKER Name,UNDERTAKER,2,"Brown, Thomas.txt; Martin, Mitchell.txt"
20. FILED (Date),20. FILED (Date),2,"Ennis, Emanuel.txt; Hall, Thomas.txt"
20. FILED - Date,20. FILED - Date,2,"Clayton, Paul.txt; Hunter, George W.txt"
20. FILED Date,20. FILED Date,2,"Anderson, Arthur.txt; Williams, Frank.txt"
21. DATE OF DEATH - Day,21. DATE OF DEATH - Day,2,"Clayton, Paul.txt; Hunter, George W.txt"
21. DATE OF DEATH - Month,21. DATE OF DEATH - Month,2,"Clayton, Paul.txt; Hunter, George W.txt"
21. DATE OF DEATH - Year,21. DATE OF DEATH - Year,2,"Clayton, Paul.txt; Hunter, George W.txt"
22. THE PRINCIPAL CAUSE OF DEATH Date of onset,22. THE PRINCIPAL CAUSE OF DEATH Date of onset,2,"Ennis, Emanuel.txt; Williams, Frank.txt"
23. Date of injury,23. Date of injury,2,"Ames Jr, Fred .txt; Williams, Frank.txt"
23. If death was due to external causes (VIOLENCE) - Accident,23. If death was due to external causes (VIOLENCE) - Accident,2,"Clayton, Paul.txt; Hunter, George W.txt"
23. If death was due to external causes (VIOLENCE) - Date of injury,23. If death was due to external causes (VIOLENCE) - Date of injury,2,"Clayton, Paul.txt; Hunter, George W.txt"
23. If death was due to external causes (VIOLENCE) - Nature of injury,23. If death was due to external causes (VIOLENCE) - Nature of injury,2,"Clayton, Paul.txt; Hunter, George W.txt"
23. If death was due to external causes (VIOLENCE) - Specify whether injury occurred in INDUSTRY,23. If death was due to external causes (VIOLENCE) - Specify whether injury occurred in INDUSTRY,2,"Clayton, Paul.txt; Hunter, George W.txt"
23. If death was due to external causes (VIOLENCE) - Where did injury occur?,23. If death was due to external causes (VIOLENCE) - Where did injury occur?,2,"Clayton, Paul.txt; Hunter, George W.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: (Specify city or town,23. If death was due to external causes (VIOLENCE) fill in also the following: (Specify city or town,2,"Anderson, Arthur.txt; Saunders, Richard E.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Date of injury,23. If death was due to external causes (VIOLENCE) fill in also the following: Date of injury,2,"Anderson, Arthur.txt; Hall, Thomas.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Manner of injury,23. If death was due to external causes (VIOLENCE) fill in also the following: Manner of injury,2,"Anderson, Arthur.txt; Hall, Thomas.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Nature of injury,23. If death was due to external causes (VIOLENCE) fill in also the following: Nature of injury,2,"Anderson, Arthur.txt; Hall, Thomas.txt"
23. Manner of injury,23. Manner of injury,2,"Ames Jr, Fred .txt; Williams, Frank.txt"
23. Nature of injury,23. Nature of injury,2,"Ames Jr, Fred .txt; Williams, Frank.txt"
23. Specify whether injury occurred in INDUSTRY,23. Specify whether injury occurred in INDUSTRY,2,"Ames Jr, Fred .txt; Williams, Frank.txt"
23. Where did injury occur?,23. Where did injury occur?,2,"Ames Jr, Fred .txt; Williams, Frank.txt"
24. Address,24. Address,2,"Clayton, Paul.txt; Hunter, George W.txt"
"5 SINGLE, MARRIED, WIDOWED, OR DIVORCED",SINGLE_MARRIED_WIDOWED_DIVORCED_,2,"Brown, Thomas.txt; Johnson, Oscar.txt"
7 AGE (ds.),7 AGE (ds.),2,"Carter, William Arthur.txt; Jenkins, John F.txt"
7 AGE (mos.),7 AGE (mos.),2,"Carter, William Arthur.txt; Jenkins, John F.txt"
7 AGE (yrs.),7 AGE (yrs.),2,"Carter, William Arthur.txt; Jenkins, John F.txt"
7 AGE - IF LESS than 1 day,7 AGE - IF LESS than 1 day,2,"Hamilton, Arthur.txt"
7 AGE IF LESS THAN 1 day,7 AGE IF LESS THAN 1 day,2,"Pratt, Louis.txt"
"8 OCCUPATION (a) Trade, profession or particular kind of work",Trade_profession_or_particular_kind_of_work_done,2,"Dennis, Irvin.txt; Tilghman, John W.txt"
"8 OCCUPATION (b) General nature of industry, business, or establishment in which employed (or employer)","8 OCCUPATION (b) General nature of industry, business, or establishment in which employed (or employer)",2,"Brown, Thomas.txt; Johnson, Oscar.txt"
8 OCCUPATION - (b) General nature of industry business,8 OCCUPATION - (b) General nature of industry business,2,"Hamilton, Arthur.txt; Russell, Coley.txt"
AGE (If LESS than 1 day,AGE (If LESS than 1 day,2,"Barnes, Joseph.txt; Hawkins, Ernest.txt"
AGE (If less than 1 day,AGE (If less than 1 day,2,"Wood, Sherman.txt"
Address (Physician),Address (Physician),2,"Hall, Thomas.txt; Jacobs, Edward(1).txt"
Attended deceased from,Attended deceased from,2,"Dyson, Allen.txt; Jacobs, Edward(1).txt"
Attended deceased to,Attended deceased to,2,"Dyson, Allen.txt; Jacobs, Edward(1).txt"
BURIAL,BURIAL,2,"Chinn, Purnell.txt"
CAUSE OF DEATH (Primary),CAUSE OF DEATH (Primary),2,"Hill Jr, Samuel.txt; Kennard, Richard.txt"
Contributory (Secondary Duration ds),CAUSE_OF_DEATH_Contributory_Secondary,2,"Evans, James.txt; Joffey, Benjamin.txt"
Contributory (Secondary Duration mos),CAUSE_OF_DEATH_Contributory_Secondary,2,"Evans, James.txt; Joffey, Benjamin.txt"
Contributory (Secondary Duration yrs),CAUSE_OF_DEATH_Contributory_Secondary,2,"Evans, James.txt; Joffey, Benjamin.txt"
Contributory (Secondary) Duration (ds),CAUSE_OF_DEATH_Contributory_Secondary,2,"Barnes, Joseph.txt; Cook, Roger.txt"
Contributory (Secondary) Duration (mos),CAUSE_OF_DEATH_Contributory_Secondary,2,"Barnes, Joseph.txt; Cook, Roger.txt"
Contributory (Secondary) Duration (yrs),CAUSE_OF_DEATH_Contributory_Secondary,2,"Barnes, Joseph.txt; Cook, Roger.txt"
Contributory Secondary (Duration) (ds),CAUSE_OF_DEATH_Contributory_Secondary,2,"Dennis, Alfred.txt; Nichols, Caleb Henry.txt"
Contributory Secondary (Duration) (mos),CAUSE_OF_DEATH_Contributory_Secondary,2,"Dennis, Alfred.txt; Nichols, Caleb Henry.txt"
Contributory Secondary (Duration) (yrs),CAUSE_OF_DEATH_Contributory_Secondary,2,"Dennis, Alfred.txt; Nichols, Caleb Henry.txt"
Contributory Secondary (Duration) ds,CAUSE_OF_DEATH_Contributory_Secondary,2,"Dixon, Lee.txt; King, John Henry.txt"
Contributory Secondary (Duration) mos,CAUSE_OF_DEATH_Contributory_Secondary,2,"Dixon, Lee.txt; King, John Henry.txt"
Contributory Secondary (Duration) yrs,CAUSE_OF_DEATH_Contributory_Secondary,2,"Dixon, Lee.txt; King, John Henry.txt"
Contributory Secondary Cause,CAUSE_OF_DEATH_Contributory_Secondary,2,"Dyson, Allen.txt; Parker, William.txt"
DATE OF BIRTH,DATE OF BIRTH,2,"Hammond, Amos.txt; Jacobs, Edward(1).txt"
DATE OF BURIAL - Day,DATE OF BURIAL - Day,2,"Dennis, Irvin.txt; Murray, Harvey E.txt"
DATE OF BURIAL - Year,DATE OF BURIAL - Year,2,"Dennis, Irvin.txt; Murray, Harvey E.txt"
DATE OF DEATH,DATE OF DEATH,2,"Hammond, Amos.txt; Jacobs, Edward(1).txt"
DEATH OCCURRED AT (Time),DEATH OCCURRED AT (Time),2,"Hawkins, Ernest.txt; Thomas, Arthur.txt"
Date Signed,Date Signed,2,"Dyson, Allen.txt; Kennard, Richard.txt"
Date Signed (Day),Date Signed (Day),2,"Booze Jr, William.txt; Carter, William Arthur.txt"
Date Signed (Month),Date Signed (Month),2,"Booze Jr, William.txt; Carter, William Arthur.txt"
Date Signed (Year),Date Signed (Year),2,"Booze Jr, William.txt; Carter, William Arthur.txt"
Date of,Date of,2,"Chinn, Purnell.txt; Davis, William C..txt"
Date of injury,Date of injury,2,"Chinn, Purnell.txt; Davis, William C..txt"
Date of onset,Date of onset,2,"Chinn, Purnell.txt"
Death occurred at,Death occurred at,2,"Dyson, Allen.txt; Jacobs, Edward(1).txt"
FILED,FILED,2,"Chinn, Purnell.txt; Jacobs, Edward(1).txt"
FORMER OR USUAL RESIDENCE,FORMER OR USUAL RESIDENCE,2,"Hawkins, Ernest.txt; Thomas, Arthur.txt"
Filed (Day),Filed (Day),2,"Kennard, Richard.txt; Mines, Charles.txt"
Filed (Month),Filed (Month),2,"Kennard, Richard.txt; Mines, Charles.txt"
Filed (Year),Filed (Year),2,"Kennard, Richard.txt; Mines, Charles.txt"
Header Number,Header Number,2,"Hill Jr, Samuel.txt; Martin, Mitchell.txt"
I last saw him alive on,I last saw him alive on,2,"Chinn, Purnell.txt; Davis, William C..txt"
INFORMANT ADDRESS,INFORMANT ADDRESS,2,"Hawkins, Ernest.txt; Jacobs, Edward(1).txt"
If LESS than 1 day,If LESS than 1 day,2,"Chinn, Purnell.txt"
If nonresident give city or town and State,If nonresident give city or town and State,2,"Chinn, Purnell.txt; Davis, William C..txt"
If so,If so,2,"Chinn, Purnell.txt; Davis, William C..txt"
LENGTH OF RESIDENCE AT PLACE OF DEATH (Days),LENGTH OF RESIDENCE AT PLACE OF DEATH (Days),2,"Hawkins, Ernest.txt; Thomas, Arthur.txt"
LENGTH OF RESIDENCE AT PLACE OF DEATH (Months),LENGTH OF RESIDENCE AT PLACE OF DEATH (Months),2,"Hawkins, Ernest.txt; Thomas, Arthur.txt"
LENGTH OF RESIDENCE AT PLACE OF DEATH (Years),LENGTH OF RESIDENCE AT PLACE OF DEATH (Years),2,"Hawkins, Ernest.txt; Thomas, Arthur.txt"
LENGTH OF RESIDENCE IN THE STATE (Days),LENGTH OF RESIDENCE IN THE STATE (Days),2,"Hawkins, Ernest.txt; Thomas, Arthur.txt"
LENGTH OF RESIDENCE IN THE STATE (Months),LENGTH OF RESIDENCE IN THE STATE (Months),2,"Hawkins, Ernest.txt; Thomas, Arthur.txt"
LENGTH OF RESIDENCE IN THE STATE (Years),LENGTH OF RESIDENCE IN THE STATE (Years),2,"Hawkins, Ernest.txt; Thomas, Arthur.txt"
Manner of injury,Manner of injury,2,"Chinn, Purnell.txt; Davis, William C..txt"
PLACE OF DEATH - Village or City,PLACE OF DEATH - Village or City,2,"Landman, Milton.txt; Murray, Harvey E.txt"
PLACE OF DEATH County,PLACE OF DEATH County,2,"Dennis, Alfred.txt; Mines, Charles.txt"
PLACE OF DEATH Village or City,PLACE OF DEATH Village or City,2,"Dennis, Alfred.txt; Mines, Charles.txt"
